outcome,outcome_type,batch,model_method,model_file,outcome_variant,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,PhotoPeriod,duration_hours,estimate,conf.low,conf.high
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,32,NA,NA,83.81682222122313,-9.684190514151185,177.31783495659744
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,32,NA,NA,83.05162953110734,-10.397213257947245,176.50047232016192
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,33,NA,NA,85.35178454058618,-10.721083008852077,181.42465209002444
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,33,NA,NA,84.58659185047038,-11.42123305324536,180.5944167541861
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,34,NA,NA,86.88674685994923,-11.758248297672637,185.5317420175711
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,34,NA,NA,86.12155416983343,-12.446197930715345,184.6893062703822
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,35,NA,NA,88.42170917931227,-12.795671104045326,189.63908946266983
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,35,NA,NA,87.65651648919648,-13.472035145357353,188.7850681237503
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,36,NA,NA,89.95667149867532,-13.833331443528069,193.7466744408787
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,36,NA,NA,89.19147880855951,-14.498682984938467,192.88164060205747
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,37,NA,NA,91.49163381803837,-14.87120584804039,197.8544734841171
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,37,NA,NA,90.72644112792256,-15.52608269475992,196.97896495060505
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,38,NA,NA,93.0265961374014,-15.909285619599018,201.96247789440184
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,38,NA,NA,92.26140344728562,-16.554179920596553,201.0769868151678
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,39,NA,NA,94.56155845676444,-16.947554936068727,206.0706718495976
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,39,NA,NA,93.79636576664863,-17.582927237619245,205.17565877091653
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,40,NA,NA,96.0965207761275,-17.986000103327797,210.1790416555828
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,40,NA,NA,95.33132808601172,-18.612279964783937,209.27493613680736
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,41,NA,NA,97.63148309549054,-19.024609794148617,214.2875759851297
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,41,NA,NA,96.86629040537474,-19.64219832305379,213.3747791338033
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,42,NA,NA,99.16644541485358,-20.06337322210122,218.39626405180837
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,42,NA,NA,98.4012527247378,-20.6726456989408,217.4751511484164
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,43,NA,NA,100.70140773421664,-21.10227914678728,222.50509461522057
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,43,NA,NA,99.93621504410083,-21.703586901124524,221.5760169893262
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,44,NA,NA,102.23637005357968,-22.14132396378129,226.61406407094063
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,44,NA,NA,101.47117736346388,-22.73499712998732,225.6773518569151
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,45,NA,NA,103.77133237294272,-23.18049303263342,230.72315777851887
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,45,NA,NA,103.00613968282693,-23.766841051148376,229.77912041680224
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,46,NA,NA,105.30629469230576,-24.21978190106553,234.83237128567708
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,46,NA,NA,104.54110200218996,-24.79909622207973,233.88130022645967
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,47,NA,NA,106.84125701166882,-25.25918407253708,238.9416980958747
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,47,NA,NA,106.07606432155302,-25.831739079928184,237.98386772303425
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,48,NA,NA,108.37621933103186,-26.298692306292523,243.05113096835623
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,48,NA,NA,107.61102664091608,-26.86474649915283,242.08679978098496
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,49,NA,NA,109.9111816503949,-27.33829967426297,247.16066297505276
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,49,NA,NA,109.1459889602791,-27.898097289531975,246.1900752100902
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,50,NA,NA,111.44614396975796,-28.378002674718076,251.270290614234
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,50,NA,NA,110.68095127964216,-28.93177424339703,250.29367680268135
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,51,NA,NA,112.981106289121,-29.417792437307256,255.38000501554927
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,51,NA,NA,112.2159135990052,-29.96575595162332,254.39758314963373
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,52,NA,NA,114.51606860848403,-30.45766918712853,259.4898064040966
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,52,NA,NA,113.75087591836824,-31.00003134279453,258.501783179531
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,53,NA,NA,116.05103092784708,-31.49762591573088,263.599687771425
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,53,NA,NA,115.28583823773128,-32.03458236381128,262.60625883927383
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,54,NA,NA,117.58599324721013,-32.537658686328555,267.7096451807488
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,NoDST,54,NA,NA,116.82080055709432,-33.06939509231432,266.71099620650295
offset,ClockTime,dst,REML,offset_poly_interact_04_dst_REML.rds,primary,age_x_dst,NA,NA,NA,NA,DST,55,NA,NA,119.1209555665732,-33.57776093596742,271.8196720691138
