batch,age_at_sleep,is_weekend_factor,dst_observes,series,estimate,facet_key
base,25,NA,NA,Direct Midpoint Model,5.517662461981468,All | AllDays | AllDST
base,26,NA,NA,Direct Midpoint Model,4.817818517246117,All | AllDays | AllDST
base,27,NA,NA,Direct Midpoint Model,4.117974572510779,All | AllDays | AllDST
base,28,NA,NA,Direct Midpoint Model,3.418130627775455,All | AllDays | AllDST
base,29,NA,NA,Direct Midpoint Model,2.71828668304011,All | AllDays | AllDST
base,30,NA,NA,Direct Midpoint Model,2.018442738304773,All | AllDays | AllDST
base,31,NA,NA,Direct Midpoint Model,1.318598793569428,All | AllDays | AllDST
base,32,NA,NA,Direct Midpoint Model,0.6187548488340835,All | AllDays | AllDST
base,33,NA,NA,Direct Midpoint Model,-0.08108909590125446,All | AllDays | AllDST
base,34,NA,NA,Direct Midpoint Model,-0.7809330406365853,All | AllDays | AllDST
base,35,NA,NA,Direct Midpoint Model,-1.4807769853719377,All | AllDays | AllDST
base,36,NA,NA,Direct Midpoint Model,-2.180620930107267,All | AllDays | AllDST
base,37,NA,NA,Direct Midpoint Model,-2.88046487484264,All | AllDays | AllDST
base,38,NA,NA,Direct Midpoint Model,-3.5803088195779296,All | AllDays | AllDST
base,39,NA,NA,Direct Midpoint Model,-4.280152764313302,All | AllDays | AllDST
base,40,NA,NA,Direct Midpoint Model,-4.979996709048632,All | AllDays | AllDST
base,41,NA,NA,Direct Midpoint Model,-5.679840653783963,All | AllDays | AllDST
base,42,NA,NA,Direct Midpoint Model,-6.379684598519307,All | AllDays | AllDST
base,43,NA,NA,Direct Midpoint Model,-7.079528543254666,All | AllDays | AllDST
base,44,NA,NA,Direct Midpoint Model,-7.779372487989955,All | AllDays | AllDST
base,45,NA,NA,Direct Midpoint Model,-8.479216432725343,All | AllDays | AllDST
base,46,NA,NA,Direct Midpoint Model,-9.179060377460646,All | AllDays | AllDST
base,47,NA,NA,Direct Midpoint Model,-9.87890432219599,All | AllDays | AllDST
base,48,NA,NA,Direct Midpoint Model,-10.578748266931337,All | AllDays | AllDST
base,49,NA,NA,Direct Midpoint Model,-11.27859221166665,All | AllDays | AllDST
base,50,NA,NA,Direct Midpoint Model,-11.97843615640201,All | AllDays | AllDST
base,51,NA,NA,Direct Midpoint Model,-12.678280101137382,All | AllDays | AllDST
base,52,NA,NA,Direct Midpoint Model,-13.3781240458727,All | AllDays | AllDST
base,53,NA,NA,Direct Midpoint Model,-14.077967990608055,All | AllDays | AllDST
base,54,NA,NA,Direct Midpoint Model,-14.777811935343374,All | AllDays | AllDST
base,55,NA,NA,Direct Midpoint Model,-15.477655880078691,All | AllDays | AllDST
base,56,NA,NA,Direct Midpoint Model,-16.17749982481405,All | AllDays | AllDST
base,57,NA,NA,Direct Midpoint Model,-16.87734376954939,All | AllDays | AllDST
base,58,NA,NA,Direct Midpoint Model,-17.577187714284754,All | AllDays | AllDST
base,59,NA,NA,Direct Midpoint Model,-18.27703165902008,All | AllDays | AllDST
base,60,NA,NA,Direct Midpoint Model,-18.976875603755417,All | AllDays | AllDST
base,61,NA,NA,Direct Midpoint Model,-19.67671954849076,All | AllDays | AllDST
base,62,NA,NA,Direct Midpoint Model,-20.376563493226115,All | AllDays | AllDST
base,63,NA,NA,Direct Midpoint Model,-21.07640743796145,All | AllDays | AllDST
base,64,NA,NA,Direct Midpoint Model,-21.776251382696763,All | AllDays | AllDST
base,65,NA,NA,Direct Midpoint Model,-22.476095327432084,All | AllDays | AllDST
base,66,NA,NA,Direct Midpoint Model,-23.17593927216747,All | AllDays | AllDST
base,67,NA,NA,Direct Midpoint Model,-23.87578321690279,All | AllDays | AllDST
base,68,NA,NA,Direct Midpoint Model,-24.575627161638117,All | AllDays | AllDST
base,69,NA,NA,Direct Midpoint Model,-25.27547110637346,All | AllDays | AllDST
base,70,NA,NA,Direct Midpoint Model,-25.975315051108808,All | AllDays | AllDST
base,71,NA,NA,Direct Midpoint Model,-26.675158995844193,All | AllDays | AllDST
base,72,NA,NA,Direct Midpoint Model,-27.375002940579456,All | AllDays | AllDST
base,73,NA,NA,Direct Midpoint Model,-28.07484688531484,All | AllDays | AllDST
base,74,NA,NA,Direct Midpoint Model,-28.77469083005015,All | AllDays | AllDST
base,75,NA,NA,Direct Midpoint Model,-29.47453477478552,All | AllDays | AllDST
