batch,age_at_sleep,is_weekend_factor,dst_observes,series,estimate,facet_key
base,25,NA,NA,Direct Duration Model,-15.772172973809308,All | AllDays | AllDST
base,26,NA,NA,Direct Duration Model,-16.75924794826733,All | AllDays | AllDST
base,27,NA,NA,Direct Duration Model,-17.746322922725366,All | AllDays | AllDST
base,28,NA,NA,Direct Duration Model,-18.73339789718339,All | AllDays | AllDST
base,29,NA,NA,Direct Duration Model,-19.720472871641423,All | AllDays | AllDST
base,30,NA,NA,Direct Duration Model,-20.707547846099448,All | AllDays | AllDST
base,31,NA,NA,Direct Duration Model,-21.694622820557477,All | AllDays | AllDST
base,32,NA,NA,Direct Duration Model,-22.681697795015506,All | AllDays | AllDST
base,33,NA,NA,Direct Duration Model,-23.668772769473552,All | AllDays | AllDST
base,34,NA,NA,Direct Duration Model,-24.65584774393156,All | AllDays | AllDST
base,35,NA,NA,Direct Duration Model,-25.6429227183896,All | AllDays | AllDST
base,36,NA,NA,Direct Duration Model,-26.629997692847617,All | AllDays | AllDST
base,37,NA,NA,Direct Duration Model,-27.617072667305663,All | AllDays | AllDST
base,38,NA,NA,Direct Duration Model,-28.60414764176367,All | AllDays | AllDST
base,39,NA,NA,Direct Duration Model,-29.591222616221707,All | AllDays | AllDST
base,40,NA,NA,Direct Duration Model,-30.578297590679753,All | AllDays | AllDST
base,41,NA,NA,Direct Duration Model,-31.56537256513779,All | AllDays | AllDST
base,42,NA,NA,Direct Duration Model,-32.55244753959581,All | AllDays | AllDST
base,43,NA,NA,Direct Duration Model,-33.53952251405386,All | AllDays | AllDST
base,44,NA,NA,Direct Duration Model,-34.52659748851187,All | AllDays | AllDST
base,45,NA,NA,Direct Duration Model,-35.513672462969915,All | AllDays | AllDST
base,46,NA,NA,Direct Duration Model,-36.5007474374279,All | AllDays | AllDST
base,47,NA,NA,Direct Duration Model,-37.487822411885944,All | AllDays | AllDST
base,48,NA,NA,Direct Duration Model,-38.47489738634399,All | AllDays | AllDST
base,49,NA,NA,Direct Duration Model,-39.461972360801994,All | AllDays | AllDST
base,50,NA,NA,Direct Duration Model,-40.44904733526005,All | AllDays | AllDST
base,51,NA,NA,Direct Duration Model,-41.43612230971807,All | AllDays | AllDST
base,52,NA,NA,Direct Duration Model,-42.42319728417611,All | AllDays | AllDST
base,53,NA,NA,Direct Duration Model,-43.41027225863414,All | AllDays | AllDST
base,54,NA,NA,Direct Duration Model,-44.39734723309215,All | AllDays | AllDST
base,55,NA,NA,Direct Duration Model,-45.38442220755017,All | AllDays | AllDST
base,56,NA,NA,Direct Duration Model,-46.371497182008234,All | AllDays | AllDST
base,57,NA,NA,Direct Duration Model,-47.358572156466224,All | AllDays | AllDST
base,58,NA,NA,Direct Duration Model,-48.34564713092427,All | AllDays | AllDST
base,59,NA,NA,Direct Duration Model,-49.33272210538231,All | AllDays | AllDST
base,60,NA,NA,Direct Duration Model,-50.319797079840335,All | AllDays | AllDST
base,61,NA,NA,Direct Duration Model,-51.30687205429835,All | AllDays | AllDST
base,62,NA,NA,Direct Duration Model,-52.29394702875641,All | AllDays | AllDST
base,63,NA,NA,Direct Duration Model,-53.28102200321445,All | AllDays | AllDST
base,64,NA,NA,Direct Duration Model,-54.268096977672435,All | AllDays | AllDST
base,65,NA,NA,Direct Duration Model,-55.25517195213044,All | AllDays | AllDST
base,66,NA,NA,Direct Duration Model,-56.2422469265885,All | AllDays | AllDST
base,67,NA,NA,Direct Duration Model,-57.22932190104651,All | AllDays | AllDST
base,68,NA,NA,Direct Duration Model,-58.21639687550457,All | AllDays | AllDST
base,69,NA,NA,Direct Duration Model,-59.203471849962575,All | AllDays | AllDST
base,70,NA,NA,Direct Duration Model,-60.19054682442062,All | AllDays | AllDST
base,71,NA,NA,Direct Duration Model,-61.17762179887868,All | AllDays | AllDST
base,72,NA,NA,Direct Duration Model,-62.16469677333664,All | AllDays | AllDST
base,73,NA,NA,Direct Duration Model,-63.151771747794726,All | AllDays | AllDST
base,74,NA,NA,Direct Duration Model,-64.13884672225271,All | AllDays | AllDST
base,75,NA,NA,Direct Duration Model,-65.12592169671078,All | AllDays | AllDST
base,76,NA,NA,Direct Duration Model,-66.11299667116879,All | AllDays | AllDST
base,77,NA,NA,Direct Duration Model,-67.10007164562681,All | AllDays | AllDST
base,78,NA,NA,Direct Duration Model,-68.08714662008485,All | AllDays | AllDST
base,79,NA,NA,Direct Duration Model,-69.07422159454288,All | AllDays | AllDST
base,80,NA,NA,Direct Duration Model,-70.0612965690009,All | AllDays | AllDST
base,81,NA,NA,Direct Duration Model,-71.04837154345894,All | AllDays | AllDST
base,82,NA,NA,Direct Duration Model,-72.03544651791694,All | AllDays | AllDST
base,83,NA,NA,Direct Duration Model,-73.02252149237499,All | AllDays | AllDST
base,84,NA,NA,Direct Duration Model,-74.00959646683305,All | AllDays | AllDST
base,85,NA,NA,Direct Duration Model,-74.99667144129103,All | AllDays | AllDST
base,18,NA,NA,Duration Model Adjusted for Midpoint,-8.775712620739235,All | AllDays | AllDST
base,19,NA,NA,Duration Model Adjusted for Midpoint,-9.75819717617831,All | AllDays | AllDST
base,20,NA,NA,Duration Model Adjusted for Midpoint,-10.740681731617382,All | AllDays | AllDST
base,21,NA,NA,Duration Model Adjusted for Midpoint,-11.723166287056475,All | AllDays | AllDST
base,22,NA,NA,Duration Model Adjusted for Midpoint,-12.705650842495553,All | AllDays | AllDST
base,23,NA,NA,Duration Model Adjusted for Midpoint,-13.68813539793464,All | AllDays | AllDST
base,24,NA,NA,Duration Model Adjusted for Midpoint,-14.67061995337371,All | AllDays | AllDST
base,25,NA,NA,Duration Model Adjusted for Midpoint,-15.653104508812778,All | AllDays | AllDST
base,26,NA,NA,Duration Model Adjusted for Midpoint,-16.635589064251874,All | AllDays | AllDST
base,27,NA,NA,Duration Model Adjusted for Midpoint,-17.618073619690957,All | AllDays | AllDST
base,28,NA,NA,Duration Model Adjusted for Midpoint,-18.600558175130033,All | AllDays | AllDST
base,29,NA,NA,Duration Model Adjusted for Midpoint,-19.58304273056911,All | AllDays | AllDST
base,30,NA,NA,Duration Model Adjusted for Midpoint,-20.5655272860082,All | AllDays | AllDST
base,31,NA,NA,Duration Model Adjusted for Midpoint,-21.548011841447263,All | AllDays | AllDST
base,32,NA,NA,Duration Model Adjusted for Midpoint,-22.53049639688635,All | AllDays | AllDST
base,33,NA,NA,Duration Model Adjusted for Midpoint,-23.51298095232544,All | AllDays | AllDST
base,34,NA,NA,Duration Model Adjusted for Midpoint,-24.4954655077645,All | AllDays | AllDST
base,35,NA,NA,Duration Model Adjusted for Midpoint,-25.47795006320358,All | AllDays | AllDST
base,36,NA,NA,Duration Model Adjusted for Midpoint,-26.460434618642665,All | AllDays | AllDST
base,37,NA,NA,Duration Model Adjusted for Midpoint,-27.44291917408177,All | AllDays | AllDST
base,38,NA,NA,Duration Model Adjusted for Midpoint,-28.42540372952083,All | AllDays | AllDST
base,39,NA,NA,Duration Model Adjusted for Midpoint,-29.407888284959917,All | AllDays | AllDST
base,40,NA,NA,Duration Model Adjusted for Midpoint,-30.390372840398985,All | AllDays | AllDST
base,41,NA,NA,Duration Model Adjusted for Midpoint,-31.37285739583806,All | AllDays | AllDST
