batch,analysis,age_at_sleep,is_weekend_factor,dst_observes,onset_estimate,offset_estimate,derived_duration_hours,derived_midpoint_linear,duration_direct_estimate,duration_direct_minus_derived,midpoint_direct_estimate,midpoint_direct_minus_derived
base,derived_duration_midpoint_age,18,Weekday,NA,0.11227987097237913,7.149202131617118,7.036922260644738,3.630741001294748,7.34126540554344,0.3043431448987022,3.901829575776488,0.2710885744817393
base,derived_duration_midpoint_age,18,Weekend,NA,0.721414266471625,8.063957986293687,7.3425437198220624,4.392686126382657,7.680621409174566,0.33807768935250326,4.682745437356052,0.29005931097339577
base,derived_duration_midpoint_age,19,Weekday,NA,0.05868092772118749,7.089656970431435,7.030976042710248,3.574168949076311,7.329742042229287,0.2987659995190395,3.84440385376283,0.270234904686518
base,derived_duration_midpoint_age,19,Weekend,NA,0.6648219277956064,8.014512808472535,7.349690880676928,4.339667368134071,7.6815605648039265,0.3318696841269979,4.628620744019081,0.2889533758850096
base,derived_duration_midpoint_age,20,Weekday,NA,0.00650183653540237,7.032344666778731,7.025842830243329,3.519423251657067,7.318971824731057,0.293128994487728,3.788701615885178,0.2692783642281107
base,derived_duration_midpoint_age,20,Weekend,NA,0.6095315480447385,7.966714855765101,7.357183307720362,4.28812320190492,7.682795798482864,0.3256124907625022,4.575870858304014,0.2877476563990946
base,derived_duration_midpoint_age,21,Weekday,NA,-0.04425740258497604,6.977265220659005,7.021522623243981,3.4665039090370144,7.308954753048751,0.2874321298047704,3.734722862143533,0.2682189531065191
base,derived_duration_midpoint_age,21,Weekend,NA,0.5555431272190217,7.920564128171386,7.365021000952364,4.238053627695203,7.68432711021138,0.31930610925901615,4.524495780210854,0.28644215251565086
base,derived_duration_midpoint_age,22,Weekday,NA,-0.09359678963994772,6.924418632072259,7.018015421712207,3.4154109212161554,7.299690827182369,0.28167540547016223,3.682467592537896,0.2670566713217397
base,derived_duration_midpoint_age,22,Weekend,NA,0.5028566653184555,7.876060625691394,7.373203960372938,4.189458645504924,7.686154499989473,0.3129505396165353,4.474495509739603,0.28503686423467833
base,derived_duration_midpoint_age,23,Weekday,NA,-0.14151632462951283,6.87380490101849,7.015321225648003,3.3661442881944885,7.29118004713191,0.27585882148390706,3.631935807068264,0.26579151887377606
base,derived_duration_midpoint_age,23,Weekend,NA,0.45147216234304033,7.833204348325119,7.381732185982079,4.14233825533408,7.688277967817142,0.3065457818350632,4.425870046890257,0.283531791556177
base,derived_duration_midpoint_age,24,Weekday,NA,-0.18801600755367123,6.8254240274977,7.013440035051372,3.318704009972014,7.283422412897374,0.2699823778460022,3.583127505734641,0.26442349576262636
base,derived_duration_midpoint_age,24,Weekend,NA,0.401389618292776,7.791995296072566,7.390605677779789,4.09669245718267,7.6906975136943885,0.300091835914599,4.378619391662819,0.2819269344801487
base,derived_duration_midpoint_age,25,Weekday,NA,-0.2330958384124229,6.779276011509889,7.012371849922312,3.273090086548733,7.2764179244787615,0.26404607455644946,3.5360426885370235,0.2629526019882906
base,derived_duration_midpoint_age,25,Weekend,NA,0.3526090331676626,7.752433468933733,7.39982443576607,4.052521251050698,7.693413137621212,0.29358870185514174,4.332743544057289,0.2802222930065916
base,derived_duration_midpoint_age,26,Weekday,NA,-0.27675581720576803,6.735360853055058,7.012116670260825,3.2293025179246446,7.270166581876072,0.25804991161524704,3.490681355475414,0.26137883755076885
base,derived_duration_midpoint_age,26,Weekend,NA,0.30513040696770005,7.71451886690862,7.409388459940921,4.00982463693816,7.696424839597613,0.2870363796566924,4.288242504073665,0.27841786713550576
base,derived_duration_midpoint_age,27,Weekday,NA,-0.31899594393370645,6.693678552133204,7.012674496066911,3.187341304099749,7.2646683850893075,0.2519938890223967,3.447043506549811,0.25970220245006104
base,derived_duration_midpoint_age,27,Weekend,NA,0.2589537396928884,7.678251489997227,7.419297750304339,3.9686026148450577,7.699732619623592,0.28043486931925266,4.2451162717119475,0.27651365686688933
base,derived_duration_midpoint_age,28,Weekday,NA,-0.35981621859623814,6.65422910874433,7.014045327340568,3.147206445074046,7.259923334118465,0.24587800677789673,3.405129141760215,0.25792269668616896
base,derived_duration_midpoint_age,28,Weekend,NA,0.2140790313432276,7.643631338199555,7.429552306856327,3.928855184771391,7.703336477699146,0.27378417084281903,4.203364846972139,0.2745096622007477
base,derived_duration_midpoint_age,29,Weekday,NA,-0.3992166411933632,6.617012522888434,7.016229164081797,3.1088979408475352,7.255931428963547,0.23970226488174973,3.364938261106626,0.25604032025909085
base,derived_duration_midpoint_age,29,Weekend,NA,0.17050628191871772,7.610658411515602,7.440152129596885,3.89058234671716,7.707236413824278,0.2670842842273933,4.162988229854237,0.27240588313707725
base,derived_duration_midpoint_age,30,Weekday,NA,-0.4371972117250815,6.582028794565517,7.019226006290598,3.0724157914202177,7.252692669624552,0.2334666633339539,3.326470864589045,0.2540550731688267
