outcome,outcome_type,batch,model_method,model_file,estimate_Weekday,estimate_Weekend,weekend_minus_weekday,contrast_scope,employment_status,term
midpoint,ClockTime,dst,REML,midpoint_poly_interact_04_5_dst_REML.rds,3.319142887071197,3.633739851706821,0.3145969646356237,by_employment,Unable To Work,Unable To Work
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,8.602833681514355,9.235646689774212,0.6328130082598573,by_employment,Employed For Wages,Employed For Wages
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,7.847886308456212,8.123369008706815,0.2754827002506035,by_employment,Homemaker,Homemaker
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,9.95452425414139,10.407777813718509,0.453253559577119,by_employment,Out Of Work Less Than One,Out Of Work Less Than One
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,7.949406364647916,8.164730929006593,0.21532456435867697,by_employment,Out Of Work One Or More,Out Of Work One Or More
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,-0.05536199878213477,0.20333850972976064,0.2587005085118954,by_employment,Retired,Retired
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,8.123087459962267,8.465870929376281,0.34278346941401416,by_employment,Self Employed,Self Employed
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,9.056833880581577,9.520547065483772,0.4637131849021951,by_employment,Student,Student
offset,ClockTime,base,REML,offset_poly_interact_04_5_REML.rds,7.277004447394134,7.417958354906894,0.1409539075127597,by_employment,Unable To Work,Unable To Work
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,8.620458044391333,9.254310956480666,0.633852912089333,by_employment,Employed For Wages,Employed For Wages
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,7.8736773123998685,8.150692990149686,0.2770156777498176,by_employment,Homemaker,Homemaker
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,9.98084230103229,10.435254789171028,0.4544124881387379,by_employment,Out Of Work Less Than One,Out Of Work Less Than One
offset,ClockTime,dst,REML,offset_poly_interact_04_5_dst_REML.rds,7.966367580700227,8.182888710966253,0.2165211302660257,by_employment,Out Of Work One Or More,Out Of Work One Or More
