outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,07,DST,NA,1.417193316306096,1.3662987796277593,1.468087852984433
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,07,NoDST,NA,1.1647772807854595,1.0893429074970906,1.2402116540738288
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,08,DST,NA,1.3322615094506614,1.2813645134251763,1.3831585054761464
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,08,NoDST,NA,1.0798454739300252,1.0044089157327585,1.155282032127292
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,09,DST,NA,1.2583326130367107,1.207431984599171,1.3092332414742505
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,09,NoDST,NA,1.0059165775160746,0.9304777427816148,1.0813554122505344
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,10,DST,NA,1.2455400835849713,1.1946424611105624,1.29643770605938
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,10,NoDST,NA,0.993124048064335,0.9176852545610528,1.0685628415676172
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,11,DST,NA,1.1907600233130031,1.1398551839457314,1.241664862680275
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,11,NoDST,NA,0.938343987792367,0.8629002600921957,1.0137877154925383
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,12,DST,NA,1.3792157286600506,1.3283151696816629,1.4301162876384383
onset,ClockTime,dst,REML,onset_poly_interact_04_5_dst_REML.rds,month_x_dst,NA,NA,NA,12,NoDST,NA,1.1267996931394144,1.051358890587047,1.2022404956917818
