outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high,employment_clean
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,21,7.605782864765114,7.568351687863172,7.643214041667057,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,21,8.090896843035843,8.015921704403496,8.16587198166819,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,22,7.299690827182369,7.2802484357910275,7.31913321857371,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,22,7.719467861035858,7.639128215901788,7.799807506169927,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,22,7.597760903560926,7.502089330007856,7.693432477113995,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,22,8.095607456032432,7.985805827727495,8.20540908433737,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,22,5.83957699592635,5.734092813314686,5.9450611785380145,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,22,7.34784486319661,7.286470404390172,7.409219322003048,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,22,7.60853008662727,7.571850491260079,7.64520968199446,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,22,8.05683867906561,7.985651935355324,8.128025422775897,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,23,7.29118004713191,7.272342600606074,7.310017493657745,Employed For Wages
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Homemaker,NA,NA,NA,NA,23,7.695019894880106,7.618264017253766,7.771775772506446,Homemaker
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work Less Than One,NA,NA,NA,NA,23,7.571197773795414,7.479605224520305,7.662790323070523,Out Of Work Less Than One
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Out Of Work One Or More,NA,NA,NA,NA,23,8.02742147168416,7.923006685167434,8.131836258200886,Out Of Work One Or More
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Retired,NA,NA,NA,NA,23,5.901588623458916,5.800370498067676,6.002806748850156,Retired
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Self Employed,NA,NA,NA,NA,23,7.336293022437321,7.277364744998683,7.395221299875959,Self Employed
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Student,NA,NA,NA,NA,23,7.610753384372635,7.574678323756028,7.646828444989242,Student
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Unable To Work,NA,NA,NA,NA,23,8.023296313204316,7.955720357336393,8.09087226907224,Unable To Work
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_x_employment,Employed For Wages,NA,NA,NA,NA,24,7.283422412897374,7.26514206496381,7.3017027608309375,Employed For Wages
