outcome,outcome_type,batch,model_method,model_file,analysis,employment_status,is_weekend_factor,sex_concept,month,dst_observes,age_at_sleep,estimate,conf.low,conf.high
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,53,7.386069450022555,7.371431408696566,7.400707491348545
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,54,7.400906190265724,7.386220503287236,7.415591877244212
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,55,7.416496076324816,7.401753518644544,7.431238634005088
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,56,7.432839108199833,7.418028763558702,7.447649452840963
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,57,7.449935285890772,7.4350443416211,7.464826230160445
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,58,7.4677846093976354,7.452798167811631,7.482771050983638
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,59,7.486387078720422,7.471287989792609,7.501486167648235
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,60,7.505742693859132,7.490511424097326,7.520973963620937
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,61,7.525851454813764,7.510465983437302,7.5412369261902255
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,62,7.546713361584321,7.531149117004723,7.56227760616392
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,63,7.568328414170802,7.552558250958261,7.584098577383343
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,64,7.590696612573206,7.574690831764726,7.606702393381686
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,65,7.613817956791533,7.597544366335923,7.630091547247144
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,66,7.637692446825784,7.621116469198149,7.654268424453418
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,67,7.662320082675958,7.64540489883388,7.6792352665180355
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,68,7.687700864342056,7.670407588709979,7.704994139974134
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,69,7.713834791824078,7.69612267936753,7.731546904280625
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,70,7.740721865122023,7.722548532292217,7.758895197951828
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,71,7.768362084235891,7.749683748556184,7.787040419915598
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,72,7.796755449165683,7.777527161074531,7.815983737256834
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,73,7.825901959911397,7.806077838934783,7.845726080888012
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,74,7.855801616473037,7.8353350851591586,7.876268147786915
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,75,7.886454418850598,7.865298387206766,7.90761045049443
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,76,7.917860367044084,7.895967437579551,7.939753296508617
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,77,7.950019461053494,7.927342097595166,7.972696824511822
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,78,7.982931700878827,7.959422345299606,8.006441056458048
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,79,8.016597086520083,7.992208309942579,8.040985863097585
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,80,8.051015617977262,8.025700195291963,8.076331040662561
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,81,8.086187295250365,8.059898294123261,8.11247629637747
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,82,8.122112118339393,8.094802961511878,8.149421275166908
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,83,8.158790087244343,8.130414579216396,8.18716559527229
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,84,8.196221201965216,8.16673357558008,8.225708828350351
duration,Duration,base,REML,duration_poly_interact_04_5_REML.rds,age_main,NA,NA,NA,NA,NA,85,8.234405462502014,8.203760405424786,8.265050519579242
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,18,7.34397367140236,7.321549372728371,7.36639797007635
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,19,7.332442966322775,7.310815756421093,7.354070176224457
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,20,7.321665516999997,7.300786580375604,7.34254445362439
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,21,7.311641323434024,7.291461828226893,7.331820818641155
duration,Duration,dst,REML,duration_poly_interact_04_5_dst_REML.rds,age_main,NA,NA,NA,NA,NA,22,7.302370385624857,7.282841650552914,7.3218991206968
